--- [LOG] Fill Buffer for Core 0 @ Cycle:3148   ---
Buffer Size: 256 | Count: 256 | Head: 2 | Tail: 2
[211] PC: 0x004f06ba | OpNum: 214        | H2P: X | Disasm: IADD     r4(RDX),r24(ZPS) <- r4(RDX),r16(R15)
[212] PC: 0x004f06bd | OpNum: 215        | H2P: X | Disasm: CF_IBR   r4(RDX)                             
[213] PC: 0x004f0918 | OpNum: 216        | H2P: X | Disasm: LOGIC    r24(ZPS) <- r14(R13)                
[214] PC: 0x004f091b | OpNum: 217        | H2P: X | Disasm: CF_CBR   r24(ZPS)                            
[215] PC: 0x004f0921 | OpNum: 218        | H2P: X | Disasm: ILD      r6(RSI) <- r14(R13) 4@009f2ce0      
[216] PC: 0x004f0925 | OpNum: 219        | H2P: X | Disasm: ICMP     r24(ZPS) <- r6(RSI)                 
[217] PC: 0x004f0928 | OpNum: 220        | H2P: X | Disasm: CF_CBR   r24(ZPS)                            
[218] PC: 0x004f092e | OpNum: 221        | H2P: X | Disasm: IADD     r6(RSI),r24(ZPS) <- r6(RSI)         
[219] PC: 0x004f0931 | OpNum: 222        | H2P: X | Disasm: IST      r14(R13),r6(RSI) 4@009f2ce0         
[220] PC: 0x004f0935 | OpNum: 223        | H2P: X | Disasm: CF_BR                                        
